file,module,doc_exists,doc_path
lib/mcp/mcp_transport_stdio.ml,Mcp_transport_stdio,true,docs-src/lib/mcp/mcp_transport_stdio.doc.md
lib/mcp/mcp_types.ml,Mcp_types,true,docs-src/lib/mcp/mcp_types.doc.md
lib/md_index_catalog.ml,Md_index_catalog,true,docs-src/lib/md_index_catalog.doc.md
lib/merlin.ml,Merlin,true,docs-src/lib/merlin.doc.md
lib/mime.ml,Mime,true,docs-src/lib/mime.doc.md
lib/notty-eio/notty_eio.ml,Notty_eio,true,docs-src/lib/notty-eio/notty_eio.doc.md
lib/notty_scroll_box.ml,Notty_scroll_box,true,docs-src/lib/notty_scroll_box.doc.md
lib/oauth/oauth2_client_credentials.ml,Oauth2_client_credentials,true,docs-src/lib/oauth/oauth2_client_credentials.doc.md
lib/oauth/oauth2_client_store.ml,Oauth2_client_store,true,docs-src/lib/oauth/oauth2_client_store.doc.md
lib/oauth/oauth2_http.ml,Oauth2_http,true,docs-src/lib/oauth/oauth2_http.doc.md
lib/oauth/oauth2_manager.ml,Oauth2_manager,true,docs-src/lib/oauth/oauth2_manager.doc.md
lib/oauth/oauth2_pkce.ml,Oauth2_pkce,true,docs-src/lib/oauth/oauth2_pkce.doc.md
lib/oauth/oauth2_pkce_flow.ml,Oauth2_pkce_flow,true,docs-src/lib/oauth/oauth2_pkce_flow.doc.md
lib/oauth/oauth2_server_client_storage.ml,Oauth2_server_client_storage,true,docs-src/lib/oauth/oauth2_server_client_storage.doc.md
lib/oauth/oauth2_server_routes.ml,Oauth2_server_routes,true,docs-src/lib/oauth/oauth2_server_routes.doc.md
lib/oauth/oauth2_server_storage.ml,Oauth2_server_storage,true,docs-src/lib/oauth/oauth2_server_storage.doc.md
lib/oauth/oauth2_server_types.ml,Oauth2_server_types,true,docs-src/lib/oauth/oauth2_server_types.doc.md
lib/oauth/oauth2_types.ml,Oauth2_types,true,docs-src/lib/oauth/oauth2_types.doc.md
lib/ocaml_parser.ml,Ocaml_parser,true,docs-src/lib/ocaml_parser.doc.md
lib/odoc_crawler.ml,Odoc_crawler,true,docs-src/lib/odoc_crawler.doc.md
lib/odoc_indexer.ml,Odoc_indexer,true,docs-src/lib/odoc_indexer.doc.md
lib/odoc_snippet.ml,Odoc_snippet,true,docs-src/lib/odoc_snippet.doc.md
lib/openai/completions.ml,Completions,true,docs-src/lib/openai/completions.doc.md
lib/openai/embeddings.ml,Embeddings,true,docs-src/lib/openai/embeddings.doc.md
lib/openai/responses.ml,Responses,true,docs-src/lib/openai/responses.doc.md
lib/package_index.ml,Package_index,true,docs-src/lib/package_index.doc.md
lib/source.ml,Source,true,docs-src/lib/source.doc.md
lib/template.ml,Template,true,docs-src/lib/template.doc.md
lib/tikitoken.ml,Tikitoken,true,docs-src/lib/tikitoken.doc.md
lib/ttl_lru_cache.ml,Ttl_lru_cache,true,docs-src/lib/ttl_lru_cache.doc.md
lib/vector_db.ml,Vector_db,true,docs-src/lib/vector_db.doc.md
lib/webpage_markdown/driver.ml,Driver,true,docs-src/lib/webpage_markdown/driver.doc.md
lib/webpage_markdown/fetch.ml,Fetch,true,docs-src/lib/webpage_markdown/fetch.doc.md
lib/webpage_markdown/html_to_md.ml,Html_to_md,true,docs-src/lib/webpage_markdown/html_to_md.doc.md
lib/webpage_markdown/md_render.ml,Md_render,true,docs-src/lib/webpage_markdown/md_render.doc.md
lib/webpage_markdown/tool.ml,Tool,true,docs-src/lib/webpage_markdown/tool.doc.md
script/dep_graph_generator.ml,Dep_graph_generator,false,docs-src/script/dep_graph_generator.doc.md
test/_print_nested_list.ml,_print_nested_list,false,docs-src/test/_print_nested_list.doc.md
test/apply_patch_test.ml,Apply_patch_test,false,docs-src/test/apply_patch_test.doc.md
test/chat_response_cache_test.ml,Chat_response_cache_test,false,docs-src/test/chat_response_cache_test.doc.md
test/chat_response_converter_test.ml,Chat_response_converter_test,false,docs-src/test/chat_response_converter_test.doc.md
test/chat_tui_cmdline_mode_test.ml,Chat_tui_cmdline_mode_test,false,docs-src/test/chat_tui_cmdline_mode_test.doc.md
test/chat_tui_command_mode_test.ml,Chat_tui_command_mode_test,false,docs-src/test/chat_tui_command_mode_test.doc.md
test/chat_tui_normal_mode_cursor_test.ml,Chat_tui_normal_mode_cursor_test,false,docs-src/test/chat_tui_normal_mode_cursor_test.doc.md
test/chat_tui_undo_test.ml,Chat_tui_undo_test,false,docs-src/test/chat_tui_undo_test.doc.md
test/chatmd_parser_test.ml,Chatmd_parser_test,false,docs-src/test/chatmd_parser_test.doc.md
test/chatml_runtime_test.ml,Chatml_runtime_test,false,docs-src/test/chatml_runtime_test.doc.md
test/chatml_typechecker_test.ml,Chatml_typechecker_test,false,docs-src/test/chatml_typechecker_test.doc.md
test/filter_file_test.ml,Filter_file_test,false,docs-src/test/filter_file_test.doc.md
test/markdown_crawler_test.ml,Markdown_crawler_test,false,docs-src/test/markdown_crawler_test.doc.md
test/markdown_indexing_test.ml,Markdown_indexing_test,false,docs-src/test/markdown_indexing_test.doc.md
test/mcp_client_http_test.ml,Mcp_client_http_test,false,docs-src/test/mcp_client_http_test.doc.md
test/mcp_client_test.ml,Mcp_client_test,false,docs-src/test/mcp_client_test.doc.md
test/mcp_server_integration_test.ml,Mcp_server_integration_test,false,docs-src/test/mcp_server_integration_test.doc.md
test/mcp_stub_server.ml,Mcp_stub_server,false,docs-src/test/mcp_stub_server.doc.md
test/mcp_transport_http_sse_test.ml,Mcp_transport_http_sse_test,false,docs-src/test/mcp_transport_http_sse_test.doc.md
test/mcp_transport_http_test.ml,Mcp_transport_http_test,false,docs-src/test/mcp_transport_http_test.doc.md
test/mcp_transport_stdio_test.ml,Mcp_transport_stdio_test,false,docs-src/test/mcp_transport_stdio_test.doc.md
test/oauth_dynamic_registration_test.ml,Oauth_dynamic_registration_test,false,docs-src/test/oauth_dynamic_registration_test.doc.md
test/webpage_markdown_test.ml,Webpage_markdown_test,false,docs-src/test/webpage_markdown_test.doc.md
